stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
100,,Köln Friedhof Rodenkirchen,,50.879187,7.002923,,,0,,
101,,Köln Am Steinneuerhof,,50.876550,6.938518,,,0,,
102,,Köln Friedhof Steinneuerhof,,50.873440,6.937446,,,0,,
103,,Köln Kirschbaumweg,,50.872787,6.993466,,,0,,
104,,Köln Mannesmannstr.,,50.868778,6.991278,,,0,,
105,,Köln Hahnwald,,50.870023,6.977979,,,0,,
106,,Köln Rodenkirchen Bf,,50.890903,6.990057,,,0,,
107,,Köln Siegstr. (Stadtbahn),,50.883313,6.994642,,,0,,
108,,Köln Michaelshoven,,50.876246,6.998910,,,0,,
109,,Köln Maternusplatz,,50.892742,6.993692,,,0,,
110,,Köln Frankstr.,,50.894672,6.989696,,,0,,
111,,Köln Rodenkirchen Rathaus,,50.891719,6.996584,,,0,,
112,,Köln Grimmelshausenstr.,,50.890457,7.002228,,,0,,
113,,Niederkassel Lülsdorf Hallenbad,,50.830087,7.019556,,,0,,
114,,Köln Uferstr.,,50.891749,7.009774,,,0,,
115,,Köln Campingplatz,,50.890771,7.022999,,,0,,
116,,Köln Siegfriedstr.,,50.888895,6.999948,,,0,,
117,,Köln Grüngürtelstr.,,50.884748,7.005515,,,0,,
118,,Köln Richard-Wagner-Str.,,50.882476,7.011392,,,0,,
119,,Köln Adolf-Menzel-Str.,,50.880397,7.015908,,,0,,
120,,Köln Konrad-Adenauer-Str.,,50.890424,6.986053,,,0,,
121,,Köln Schwabenstr.,,50.887131,6.989622,,,0,,
122,,Köln Schillingsrotter Str.,,50.884478,6.989722,,,0,,
123,,Köln Am Neuen Forst,,50.875453,6.994986,,,0,,
124,,Köln Sürth Bf,,50.864090,7.003437,,,0,,
125,,Köln Wesselinger Str.,,50.860377,7.004536,,,0,,
126,,Köln Marktplatz Sürth,,50.862195,7.007402,,,0,,
127,,Köln Kölnstr.,,50.864675,7.011717,,,0,,
128,,Köln Ernst-Volland-Str.,,50.867761,7.017608,,,0,,
129,,Köln Hammerschmidtstr.,,50.870860,7.020886,,,0,,
130,,Köln Ritterstr.,,50.872709,7.024336,,,0,,
131,,Köln Weißer Hauptstr.,,50.875487,7.029370,,,0,,
132,,Köln Weiß Friedhof,,50.877272,7.026823,,,0,,
133,,Köln Zum Hedelsberg,,50.879021,7.021093,,,0,,
134,,Köln Godorf Bf,,50.847509,6.978530,,,0,,
135,,Köln Pierstr.,,50.848576,6.975741,,,0,,
136,,Köln Otto-Hahn-Str.,,50.858149,6.974706,,,0,,
137,,Köln Bunsenstr.,,50.853578,6.975192,,,0,,
138,,Köln Friedhof Godorf,,50.850368,6.971050,,,0,,
139,,Köln Immendorf Siedlung,,50.853820,6.965541,,,0,,
140,,Köln Immendorf,,50.858509,6.959516,,,0,,
141,,Köln Zaunhof,,50.860307,6.955022,,,0,,
142,,Köln Mohnweg,,50.937957,6.855375,,,0,,
143,,Köln Universitätsstr.,,50.936637,6.924647,,,0,,
144,,Köln Melaten,,50.936745,6.916711,,,0,,
145,,Köln Hildegardis-Krankenhaus,,50.930539,6.922834,,,0,,
146,,Köln Geibelstr.,,50.927958,6.918430,,,0,,
147,,Köln Leiblplatz,,50.925956,6.915816,,,0,,
148,,Köln Karl-Schwering-Platz,,50.930963,6.916910,,,0,,
149,,Köln Theresienstr.,,50.929501,6.913155,,,0,,
150,,Köln Weißhausstr.,,50.921501,6.933520,,,0,,
151,,Köln Arnulfstr.,,50.918728,6.930663,,,0,,
152,,Köln Sülzburgstr.,,50.915724,6.927503,,,0,,
153,,Köln Universität,,50.925800,6.930932,,,0,,
154,,Köln Weyertal,,50.924016,6.926971,,,0,,
155,,Köln Lindenburg (Universitätskliniken),,50.922224,6.921674,,,0,,
156,,Köln Konradstr.,,50.920147,6.927506,,,0,,
157,,Köln Gerolsteiner Str,,50.917049,6.923690,,,0,,
158,,Niederkassel Lülsdorf Kirche,,50.829470,7.011977,,,0,,
159,,Köln Rhöndorfer Str.,,50.913814,6.932570,,,0,,
160,,Köln Sülzgürtel,,50.912354,6.923938,,,0,,
161,,Bonn Bad Godesberg Bf,,50.683719,7.159817,,,0,,
162,,Köln Berrenrather Str./Gürtel,,50.914639,6.920343,,,0,,
163,,Köln Euskirchener Str.,,50.918030,6.916613,,,0,,
164,,Köln Zülpicher Str./Gürtel,,50.920333,6.915279,,,0,,
165,,Köln Mommsenstr.,,50.919167,6.910350,,,0,,
166,,Köln Sülz Hermeskeiler Platz,,50.917159,6.907296,,,0,,
167,,Köln Klettenbergpark,,50.907869,6.919328,,,0,,
168,,Köln Siebengebirgsallee,,50.909934,6.928782,,,0,,
169,,Köln Wüllnerstr.,,50.931195,6.907968,,,0,,
170,,Köln Dürener Str./Gürtel,,50.927755,6.908811,,,0,,
171,,Köln Kitschburger Str.,,50.926310,6.901529,,,0,,
172,,Köln Brahmsstr.,,50.925967,6.898237,,,0,,
173,,Köln Gleueler Str./Gürtel,,50.923773,6.912260,,,0,,
174,,Köln Hohenlind,,50.924464,6.897312,,,0,,
175,,Köln Krieler Str.,,50.921599,6.907382,,,0,,
176,,Köln Koppensteinstr.,,50.918643,6.902561,,,0,,
177,,Köln Deckstein,,50.916811,6.900008,,,0,,
178,,Köln Aachener Str./Gürtel,,50.936998,6.908550,,,0,,
179,,Köln Maarweg,,50.937177,6.899363,,,0,,
180,,Köln Clarenbachstift,,50.937314,6.894315,,,0,,
181,,Köln Eupener Str.,,50.937452,6.889253,,,0,,
182,,Köln Melatengürtel,,50.939855,6.910982,,,0,,
183,,Köln Stolberger Str./Eupener Str.,,50.942301,6.888805,,,0,,
184,,Köln Geilenkircher Str.,,50.942018,6.897522,,,0,,
185,,Köln Müngersdorf S-Bahn Technologiepark,,50.948578,6.888399,,,0,,
186,,Köln Alter Militärring,,50.937689,6.881746,,,0,,
187,,Köln Rheinenergie-Stadion,,50.937590,6.874588,,,0,,
188,,Köln Wendelinstr.,,50.940236,6.880144,,,0,,
189,,Köln Herrigergasse,,50.941612,6.876442,,,0,,
190,,Köln Kämpchensweg,,50.944945,6.873147,,,0,,
191,,Köln Am Lindenweg,,50.951099,6.862660,,,0,,
192,,Köln Flachsweg,,50.946037,6.860489,,,0,,
193,,Köln Leinsamenweg,,50.945370,6.853391,,,0,,
194,,Köln Roggenweg,,50.947902,6.850050,,,0,,
195,,Köln Vitalisstr. Süd,,50.943088,6.882147,,,0,,
196,,Köln Widdersdorfer Str.,,50.946551,6.885400,,,0,,
197,,Köln Technologiepark Köln,,50.946744,6.890839,,,0,,
198,,Köln Schwindstr.,,50.940860,6.861517,,,0,,
199,,Köln Böcklinstr.,,50.941429,6.858682,,,0,,
200,,Köln Junkersdorf,,50.937636,6.868372,,,0,,
202,,Köln Eygelshovener Str.,,50.878245,7.011087,,,0,,
203,,Köln Birkenallee,,50.933892,6.860507,,,0,,
204,,Köln Kölner Weg,,50.931478,6.857489,,,0,,
205,,Köln Sterrenhofweg,,50.928127,6.854767,,,0,,
206,,Köln Beethovenstr.,,50.929528,6.852574,,,0,,
207,,Köln Südallee,,50.930477,6.863985,,,0,,
209,,Köln Wiener Weg,,50.926926,6.865242,,,0,,
211,,Köln Egelspfad,,50.942149,6.853744,,,0,,
212,,Köln Bf Lövenich,,50.942862,6.834691,,,0,,
213,,Köln Seithümerstr.,,50.946330,6.832363,,,0,,
214,,Köln Dieselstr.,,50.947135,6.841740,,,0,,
215,,Köln Zaunstr.,,50.947076,6.829915,,,0,,
216,,Köln An Der Ronne,,50.950761,6.828714,,,0,,
217,,Köln Spitzangerweg,,50.947483,6.826962,,,0,,
218,,Köln Saarstr.,,50.944026,6.821366,,,0,,
219,,Köln Severinusstr.,,50.942823,6.825015,,,0,,
220,,Köln Braugasse,,50.944209,6.829807,,,0,,
221,,Köln Selma-Lagerlöf-Str.,,50.941800,6.828597,,,0,,
222,,Köln Frechener Weg,,50.939072,6.826656,,,0,,
223,,Köln Üsdorf,,50.935080,6.826742,,,0,,
224,,Köln Weiden Sportplatz,,50.942241,6.841083,,,0,,
225,,Köln Stormstr.,,50.942004,6.845219,,,0,,
226,,Köln Sürther Feldallee,,50.873368,7.010584,,,0,,
227,,Köln Ostlandstr.,,50.935656,6.832983,,,0,,
228,,Köln Rosenhügel,,50.874143,7.060029,,,0,,
229,,Köln Diepenbeekallee,,50.935320,6.845909,,,0,,
230,,Köln Im Buschfelde,,50.967485,6.838194,,,0,,
231,,Köln Widdersdorf,,50.966290,6.834343,,,0,,
232,,Köln Adrian-Meller-Str.,,50.963721,6.830283,,,0,,
233,,Köln Blaugasse,,50.961527,6.830443,,,0,,
234,,Köln Stüttgenhof,,50.919983,6.876604,,,0,,
235,,Köln Marsdorf,,50.917477,6.858227,,,0,,
236,,Köln Piusstr.,,50.945995,6.925787,,,0,,
237,,Köln Körnerstr.,,50.948295,6.920311,,,0,,
238,,Köln Gutenbergstr.,,50.950362,6.928278,,,0,,
239,,Köln Liebigstr.,,50.952319,6.924148,,,0,,
240,,Niederkassel Lülsdorf Uhlandstr.,,50.832927,7.011328,,,0,,
241,,Köln Weiden Römergrab,,50.938383,6.828664,,,0,,
